id,naslov,leto,leto-zacetek,leto-konec,zasluzek,glasovi,dolzina,metascore,oznaka,opis,ocena,igralci,zanri
2205697,Ujetniki ljubezni,2012,2012,2012,78950,86209,97,49,R,"An acclaimed writer, his ex-wife, and their teenaged children come to terms with the complexities of love in all its forms over the course of one tumultuous year.",7.2,"[{'id': 1427, 'ime': 'Greg Kinnear'}, {'id': 124, 'ime': 'Jennifer Connelly'}, {'id': 2934314, 'ime': 'Lily Collins'}, {'id': 1822659, 'ime': 'Nat Wolff'}]","['Comedy', 'Drama', 'Romance']"
882977,Ovaduh,2013,2013,2013,42930462,86202,112,51,PG-13,"A father goes undercover for the DEA in order to free his son, who was imprisoned after being set up in a drug deal.",6.4,"[{'id': 425005, 'ime': 'Dwayne Johnson'}, {'id': 215, 'ime': 'Susan Sarandon'}, {'id': 1256532, 'ime': 'Jon Bernthal'}, {'id': 1969169, 'ime': 'Rafi Gavron'}]","['Action', 'Drama', 'Thriller']"
1135985,Sex Drive,2008,2008,2008,8402485,86187,109,49,R,A high school senior drives cross-country with his best friends to hook up with a babe he met online.,6.5,"[{'id': 958430, 'ime': 'Josh Zuckerman'}, {'id': 241173, 'ime': 'Clark Duke'}, {'id': 1468739, 'ime': 'Amanda Crew'}, {'id': 5188, 'ime': 'James Marsden'}]","['Comedy', 'Romance']"
1559547,Cudovita bitja,2013,2013,2013,19452138,86165,124,52,PG-13,"Ethan Wate longs to escape his small southern town. He meets a mysterious new girl, Lena Duchannes. Together, they uncover dark secrets about their respective families, their history, and their town.",6.2,"[{'id': 2129444, 'ime': 'Alice Englert'}, {'id': 205626, 'ime': 'Viola Davis'}, {'id': 668, 'ime': 'Emma Thompson'}, {'id': 2403277, 'ime': 'Alden Ehrenreich'}]","['Drama', 'Fantasy', 'Romance']"
1289406,Harry Brown,2009,2009,2009,1818681,86162,103,55,R,An elderly ex-serviceman and widower looks to avenge his best friend's murder by doling out his own form of justice.,7.2,"[{'id': 323, 'ime': 'Michael Caine'}, {'id': 607865, 'ime': 'Emily Mortimer'}, {'id': 103195, 'ime': 'David Bradley'}, {'id': 187224, 'ime': 'Charlie Creed-Miles'}]","['Action', 'Crime', 'Drama']"
368226,The Room,2003,2003,2003,557236,86153,99,9,R,"Johnny is a successful bank executive who lives quietly in a San Francisco townhouse with his fiancée, Lisa. One day, putting aside any scruple, she seduces Johnny's best friend, Mark. From there, nothing will be the same again.",3.7,"[{'id': 1382072, 'ime': 'Tommy Wiseau'}, {'id': 1382799, 'ime': 'Juliette Danielle'}, {'id': 802995, 'ime': 'Greg Sestero'}, {'id': 1223979, 'ime': 'Philip Haldiman'}]",['Drama']
120679,Frida,2002,2002,2002,25885000,86079,123,61,R,"A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work.",7.4,"[{'id': 161, 'ime': 'Salma Hayek'}, {'id': 547, 'ime': 'Alfred Molina'}, {'id': 1691, 'ime': 'Geoffrey Rush'}, {'id': 535502, 'ime': 'Mía Maestro'}]","['Biography', 'Drama', 'Romance']"
2132285,The Bling Ring,2013,2013,2013,5841046,86037,90,66,R,"Inspired by actual events, a group of fame-obsessed teenagers use the internet to track celebrities' whereabouts in order to rob their homes.",5.6,"[{'id': 4583512, 'ime': 'Katie Chang'}, {'id': 3441152, 'ime': 'Israel Broussard'}, {'id': 914612, 'ime': 'Emma Watson'}, {'id': 4903197, 'ime': 'Claire Julien'}]","['Biography', 'Crime', 'Drama']"
48424,Noc lovca,1955,1955,1955,654000,86008,92,99,,"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery.",8.0,"[{'id': 53, 'ime': 'Robert Mitchum'}, {'id': 1859, 'ime': 'Shelley Winters'}, {'id': 1273, 'ime': 'Lillian Gish'}, {'id': 322299, 'ime': 'James Gleason'}]","['Crime', 'Drama', 'Film-Noir']"
69704,Ameriski grafiti,1973,1973,1973,115000000,85976,110,97,,A group of teenagers in California's central valley spend one final night after their 1962 high school graduation cruising the strip with their buddies before they pursue their varying goals.,7.4,"[{'id': 377, 'ime': 'Richard Dreyfuss'}, {'id': 165, 'ime': 'Ron Howard'}, {'id': 494432, 'ime': 'Paul Le Mat'}, {'id': 1747, 'ime': 'Charles Martin Smith'}]","['Comedy', 'Drama']"
468489,Half Nelson,2006,2006,2006,2694973,85974,106,85,R,An inner-city junior high school teacher with a drug habit forms an unlikely friendship with one of his students after she discovers his secret.,7.2,"[{'id': 331516, 'ime': 'Ryan Gosling'}, {'id': 1107001, 'ime': 'Anthony Mackie'}, {'id': 1560274, 'ime': 'Shareeka Epps'}, {'id': 2575873, 'ime': 'Jeff Lima'}]",['Drama']
1506999,Izdana,2011,2011,2011,18942396,85877,93,67,R,A black ops super soldier seeks payback after she is betrayed and set up during a mission.,5.8,"[{'id': 2442289, 'ime': 'Gina Carano'}, {'id': 191, 'ime': 'Ewan McGregor'}, {'id': 1055413, 'ime': 'Michael Fassbender'}, {'id': 29400, 'ime': 'Michael Angarano'}]","['Action', 'Drama', 'Thriller']"
49730,The Searchers,1956,1956,1956,,85722,119,94,,An American Civil War veteran embarks on a years-long journey to rescue his niece from the Comanches after the rest of his brother's family is massacred in a raid on their Texas farm.,7.9,"[{'id': 78, 'ime': 'John Wayne'}, {'id': 1374, 'ime': 'Jeffrey Hunter'}, {'id': 587256, 'ime': 'Vera Miles'}, {'id': 955, 'ime': 'Ward Bond'}]","['Adventure', 'Drama', 'Western']"
1456635,Goon,2011,2011,2011,4168144,85718,92,64,R,"Labeled an outcast by his brainy family, a bouncer overcomes long odds to lead a team of under performing misfits to semi-pro hockey glory, beating the crap out of everything that stands in his way.",6.8,"[{'id': 5405, 'ime': 'Seann William Scott'}, {'id': 59431, 'ime': 'Jay Baruchel'}, {'id': 683467, 'ime': 'Alison Pill'}, {'id': 506405, 'ime': 'Eugene Levy'}]","['Comedy', 'Drama', 'Sport']"
7569592,Chilling Adventures of Sabrina,2018–2020,2018,2020,,85696,60,,,"As her 16th birthday nears, Sabrina must choose between the witch world of her family and the human world of her friends. Based on the Archie comic.",7.5,"[{'id': 2215143, 'ime': 'Kiernan Shipka'}, {'id': 3515425, 'ime': 'Ross Lynch'}, {'id': 205063, 'ime': 'Lucy Davis'}, {'id': 9124071, 'ime': 'Chance Perdomo'}]","['Drama', 'Fantasy', 'Horror']"
1023481,Odplesi svoje sanje 2,2008,2008,2008,58017783,85654,98,50,PG-13,Romantic sparks occur between two dance students from different backgrounds at the Maryland School of the Arts.,6.2,"[{'id': 1382207, 'ime': 'Robert Hoffman'}, {'id': 263759, 'ime': 'Briana Evigan'}, {'id': 144260, 'ime': 'Cassie Ventura'}, {'id': 1782560, 'ime': 'Adam Sevani'}]","['Drama', 'Music', 'Romance']"
116365,The Frighteners,1996,1996,1996,16759216,85604,110,52,R,"After a tragic car accident that kills his wife, a man discovers he can communicate with the dead to con people. However, when a demonic spirit appears, he may be the only one who can stop it from killing the living and the dead.",7.1,"[{'id': 150, 'ime': 'Michael J. Fox'}, {'id': 746, 'ime': 'Trini Alvarado'}, {'id': 229930, 'ime': 'Peter Dobson'}, {'id': 40014, 'ime': 'John Astin'}]","['Comedy', 'Fantasy', 'Horror']"
2071645,The Following,2013–2015,2013,2015,,85593,43,,,"A brilliant and charismatic, yet psychotic serial killer communicates with other active serial killers and activates a cult of believers following his every command.",7.4,"[{'id': 102, 'ime': 'Kevin Bacon'}, {'id': 700856, 'ime': 'James Purefoy'}, {'id': 39162, 'ime': 'Shawn Ashmore'}, {'id': 2038170, 'ime': 'Valorie Curry'}]","['Crime', 'Drama', 'Horror']"
345950,Spužvak Robi Kvadrohlač,2004,2004,2004,85417988,85510,87,66,PG,SpongeBob SquarePants takes leave from the town of Bikini Bottom in order to track down King Neptune's stolen crown.,7.1,"[{'id': 444786, 'ime': 'Tom Kenny'}, {'id': 1787, 'ime': 'Jeffrey Tambor'}, {'id': 120309, 'ime': 'Rodger Bumpass'}, {'id': 492657, 'ime': 'Carolyn Lawrence'}]","['Animation', 'Adventure', 'Comedy']"
86200,Tvegan posel,1983,1983,1983,63500000,85510,99,75,,"A Chicago teenager is looking for fun at home while his parents are away, but the situation quickly gets out of hand.",6.8,"[{'id': 129, 'ime': 'Tom Cruise'}, {'id': 360, 'ime': 'Rebecca De Mornay'}, {'id': 1592, 'ime': 'Joe Pantoliano'}, {'id': 557956, 'ime': 'Richard Masur'}]","['Comedy', 'Crime', 'Drama']"
1911658,Pingvini z Madagaskarja,2014,2014,2014,83348920,85468,92,53,PG,"Skipper, Kowalski, Rico and Private join forces with undercover organization The North Wind to stop the villainous Dr. Octavius Brine from destroying the world as we know it.",6.7,"[{'id': 569891, 'ime': 'Tom McGrath'}, {'id': 1844237, 'ime': 'Chris Miller'}, {'id': 971017, 'ime': 'Christopher Knights'}, {'id': 970447, 'ime': 'Conrad Vernon'}]","['Animation', 'Adventure', 'Comedy']"
2357291,Rio 2,2014,2014,2014,131538435,85462,101,49,G,"It's a jungle out there for Blu, Jewel, and their three kids after they're hurtled from Rio de Janeiro to the wilds of the Amazon. As Blu tries to fit in, he goes beak-to-beak with the vengeful Nigel and meets his father-in-law.",6.3,"[{'id': 251986, 'ime': 'Jesse Eisenberg'}, {'id': 4266, 'ime': 'Anne Hathaway'}, {'id': 1318596, 'ime': 'Jemaine Clement'}, {'id': 412, 'ime': 'Andy Garcia'}]","['Animation', 'Adventure', 'Comedy']"
1212428,Izgubljeno mesto Z,2016,2016,2016,8580410,85447,141,78,PG-13,"A true-life drama, centering on British explorer Major Percival Fawcett, who disappeared whilst searching for a mysterious city in the Amazon in the 1920s.",6.6,"[{'id': 402271, 'ime': 'Charlie Hunnam'}, {'id': 1500155, 'ime': 'Robert Pattinson'}, {'id': 1092227, 'ime': 'Sienna Miller'}, {'id': 4043618, 'ime': 'Tom Holland'}]","['Biography', 'Drama']"
1655420,Moj teden z Marilyn,2011,2011,2011,14600347,85437,99,65,R,"Colin Clark, an employee of Sir Laurence Olivier, documents the tense interaction between Olivier and Marilyn Monroe during the production of Princ in plesalka (1957).",6.9,"[{'id': 931329, 'ime': 'Michelle Williams'}, {'id': 1519666, 'ime': 'Eddie Redmayne'}, {'id': 110, 'ime': 'Kenneth Branagh'}, {'id': 566, 'ime': 'Julia Ormond'}]","['Biography', 'Drama']"
2370248,Short Term 12,2013,2013,2013,1010414,85416,96,82,R,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,8.0,"[{'id': 488953, 'ime': 'Brie Larson'}, {'id': 877555, 'ime': 'Frantz Turner'}, {'id': 302330, 'ime': 'John Gallagher Jr.'}, {'id': 3239803, 'ime': 'Kaitlyn Dever'}]",['Drama']
108037,The Sandlot,1993,1993,1993,32416586,85302,101,55,PG,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures.",7.8,"[{'id': 347509, 'ime': 'Tom Guiry'}, {'id': 899953, 'ime': 'Mike Vitar'}, {'id': 480869, 'ime': 'Art LaFleur'}, {'id': 719606, 'ime': 'Patrick Renna'}]","['Comedy', 'Drama', 'Family']"
1051904,Kurja polt,2015,2015,2015,80080379,85279,103,60,PG,"A teenager teams up with the daughter of young adult horror author R. L. Stine after the writer's imaginary demons are set free on the town of Madison, Delaware.",6.3,"[{'id': 85312, 'ime': 'Jack Black'}, {'id': 1910255, 'ime': 'Dylan Minnette'}, {'id': 3843467, 'ime': 'Odeya Rush'}, {'id': 2619114, 'ime': 'Ryan Lee'}]","['Adventure', 'Comedy', 'Family']"
460740,Cashback,2006,2006,2006,24942,85256,102,54,R,"After a painful breakup, Ben develops insomnia. To kill time, he starts working the late night shift at the local supermarket, where his artistic imagination runs wild.",7.1,"[{'id': 81801, 'ime': 'Sean Biggerstaff'}, {'id': 288976, 'ime': 'Emilia Fox'}, {'id': 752740, 'ime': 'Michelle Ryan'}, {'id': 2931729, 'ime': 'Erica Ellis'}]","['Comedy', 'Drama', 'Romance']"
