film,oseba,vloga,mesto
34492,17013,I,1
34492,18755,I,2
34492,1027883,I,3
34492,66951,I,4
34583,7,I,1
34583,6,I,2
34583,2134,I,3
34583,1647,I,4
35015,392529,I,1
35015,1072,I,2
35015,182537,I,3
35015,879,I,4
35279,485509,I,1
35279,191950,I,2
35279,472603,I,3
35279,62667,I,4
35423,212,I,1
35423,413168,I,2
35423,630,I,3
35423,5227,I,4
35575,10,I,1
35575,504125,I,2
35575,404158,I,3
35575,926636,I,4
36027,214168,I,1
36027,7218,I,2
36027,255199,I,3
36027,57121,I,4
36244,20,I,1
36244,763,I,2
36244,400794,I,3
36244,63,I,4
36613,26,I,1
36613,485509,I,2
36613,557339,I,3
36613,7217,I,4
36775,534045,I,1
36775,1766,I,2
36775,64,I,3
36775,56477,I,4
37059,23,I,1
37059,639684,I,2
37059,802,I,3
37059,107082,I,4
37101,694090,I,1
37101,872456,I,2
37101,794297,I,3
37101,472603,I,4
37469,64,I,1
37469,910,I,2
37469,557339,I,3
37469,107631,I,4
37635,424345,I,1
37635,714878,I,2
37635,191745,I,3
37635,581146,I,4
37913,1076,I,1
37913,7217,I,2
37913,779923,I,3
37913,781,I,4
37988,1695,I,1
37988,368836,I,2
37988,1656,I,3
37988,1450,I,4
38166,592058,I,1
38166,596663,I,2
38166,527741,I,3
38166,1359,I,4
38348,544786,I,1
38348,196816,I,2
38348,664186,I,3
38348,314590,I,4
38355,7,I,1
38355,2,I,2
38355,725891,I,3
38355,896015,I,4
38559,28,I,1
38559,1229,I,2
38559,534317,I,3
38559,130407,I,4
38574,590055,I,1
38574,387753,I,2
38574,905697,I,3
38574,1739,I,4
38650,71,I,1
38650,1656,I,2
38650,859,I,3
38650,593775,I,4
38669,44,I,1
38669,1257,I,2
38669,639529,I,3
38669,215260,I,4
38762,20,I,1
38762,1105,I,2
38762,1514,I,3
38762,236157,I,4
38787,26,I,1
38787,6,I,2
38787,1647,I,3
38787,129894,I,4
38854,1805,I,1
38854,2092,I,2
38854,445523,I,3
38854,2025,I,4
38890,536167,I,1
38890,264762,I,2
38890,656496,I,3
38890,30383,I,4
38969,913095,I,1
38969,237985,I,2
38969,59934,I,3
38969,666087,I,4
38991,80,I,1
38991,64,I,2
38991,949835,I,3
38991,580882,I,4
39192,39,I,1
39192,268119,I,2
39192,733460,I,3
39192,481966,I,4
40522,536009,I,1
40522,821543,I,2
40522,136794,I,3
40522,22821,I,4
40525,28,I,1
40525,80,I,2
40525,806041,I,3
40525,26011,I,4
40636,280178,I,1
40636,3318,I,2
40636,366253,I,3
40636,852279,I,4
40662,628579,I,1
40662,27,I,2
40662,909727,I,3
40662,838066,I,4
40724,78,I,1
40724,1050,I,2
40724,238445,I,3
40724,974,I,4
40746,71,I,1
40746,197982,I,2
40746,335048,I,3
40746,389516,I,4
40897,7,I,1
40897,404158,I,2
40897,392529,I,3
40897,71636,I,4
41090,75,I,1
41090,31,I,2
41090,391062,I,3
41090,263885,I,4
41452,14,I,1
41452,1050,I,2
41452,724732,I,3
41452,394244,I,4
41959,80,I,1
41959,1072,I,2
41959,885098,I,3
41959,2145,I,4
42041,10,I,1
42041,562920,I,2
42041,639529,I,3
42041,943618,I,4
42192,12,I,1
42192,879,I,2
42192,1695,I,3
42192,2141,I,4
42208,1330,I,1
42208,129894,I,2
42208,353405,I,3
42208,926235,I,4
42332,940627,I,1
42332,531763,I,2
42332,41598,I,3
42332,271658,I,4
42530,197982,I,1
42530,192033,I,2
42530,471854,I,3
42530,138885,I,4
42546,71,I,1
42546,285922,I,2
42546,528621,I,3
42546,395067,I,4
42593,7,I,1
42593,2108,I,2
42593,522481,I,3
42593,717203,I,4
42788,1847,I,1
42788,74,I,2
42788,936727,I,3
42788,549280,I,4
42876,1536,I,1
42876,477553,I,2
42876,605270,I,3
42876,793766,I,4
42895,78,I,1
42895,58,I,2
42895,424565,I,3
42895,418741,I,4
43208,840,I,1
43208,789,I,2
43208,888573,I,3
43208,292433,I,4
43265,7,I,1
43265,31,I,2
43265,605923,I,3
43265,119988,I,4
43274,64607,I,1
43274,943956,I,2
43274,370821,I,3
43274,1359,I,4
43278,37,I,1
43278,1989,I,2
43278,505157,I,3
43278,350250,I,4
43456,719692,I,1
43456,623658,I,2
43456,549280,I,3
43456,415488,I,4
44079,335048,I,1
44079,908153,I,2
44079,738746,I,3
44079,1991,I,4
44081,46,I,1
44081,8,I,2
44081,1375,I,3
44081,1500,I,4
44121,864851,I,1
44121,792212,I,2
44121,790,I,3
44121,180452,I,4
44706,11,I,1
44706,38,I,2
44706,593775,I,3
44706,978,I,4
44741,793766,I,1
44741,437520,I,2
44741,385443,I,3
44741,848984,I,4
45274,61472,I,1
45274,143686,I,2
45274,312902,I,3
45274,800837,I,4
45555,1229,I,1
45555,2108,I,2
45555,104720,I,3
45555,780038,I,4
45897,1050,I,1
45897,879,I,2
45897,1500,I,3
45897,731,I,4
46183,237985,I,1
46183,64607,I,2
46183,175788,I,3
46183,859892,I,4
46250,60,I,1
46250,30,I,2
46250,734,I,3
46250,694403,I,4
46359,34,I,1
46359,852279,I,2
46359,695937,I,3
46359,833865,I,4
46478,605270,I,1
46478,477553,I,2
46478,849011,I,3
46478,593930,I,4
46672,18,I,1
46672,51,I,2
46672,510134,I,3
46672,48,I,4
46876,137999,I,1
46876,11105,I,2
46876,219396,I,3
46876,603875,I,4
46911,797531,I,1
46911,167243,I,2
46911,582890,I,3
46911,889024,I,4
46912,1537,I,1
46912,38,I,2
46912,191950,I,3
46912,2369,I,4
47034,793766,I,1
47034,386284,I,2
47034,847361,I,3
47034,442708,I,4
47296,8,I,1
47296,1500,I,2
47296,2011,I,3
47296,1768,I,4
47396,71,I,1
47396,38,I,2
47396,179819,I,3
47396,728812,I,4
47472,7225,I,1
47472,444476,I,2
47472,724143,I,3
47472,848560,I,4
47478,1536,I,1
47478,793766,I,2
47478,875477,I,3
47478,793616,I,4
47677,8,I,1
47677,614500,I,2
47677,445290,I,3
47677,1511,I,4
48021,785771,I,1
48021,617846,I,2
48021,544275,I,3
48021,201009,I,4
48254,798826,I,1
48254,437325,I,2
48254,808600,I,3
48254,418911,I,4
48261,576127,I,1
48261,215260,I,2
48261,829717,I,3
48261,379621,I,4
48280,524853,I,1
48280,731333,I,2
48280,498007,I,3
48280,859892,I,4
48356,308,I,1
48356,86198,I,2
48356,591034,I,3
48356,162557,I,4
48424,53,I,1
48424,1859,I,2
48424,1273,I,3
48424,322299,I,4
48445,534286,I,1
48445,2108,I,2
48445,625383,I,3
48445,339307,I,4
48452,539047,I,1
48452,368274,I,2
48452,503499,I,3
48452,12994,I,4
48473,52333,I,1
48473,52334,I,2
48473,52343,I,3
48473,222447,I,4
48545,15,I,1
48545,81,I,2
48545,543,I,3
48545,822,I,4
48641,414965,I,1
48641,196992,I,2
48641,27683,I,3
48641,137808,I,4
48728,26,I,1
48728,38,I,2
48728,484829,I,3
48728,2369,I,4
48956,348483,I,1
48956,315871,I,2
48956,11967,I,3
48956,51837,I,4
48960,57,I,1
48960,134594,I,2
48960,192958,I,3
48960,605923,I,4
49096,1414,I,1
49096,424318,I,2
49096,1651,I,3
49096,1450,I,4
49314,1078,I,1
49314,38,I,2
49314,69,I,3
49314,2141,I,4
49406,1330,I,1
49406,336531,I,2
49406,250436,I,3
49406,282435,I,4
49408,989,I,1
49408,39,I,2
49408,1549,I,3
49408,72578,I,4
49730,78,I,1
49730,1374,I,2
49730,587256,I,3
49730,955,I,4
49833,32,I,1
49833,989,I,2
49833,879,I,3
49833,64,I,4
50083,20,I,1
50083,2011,I,2
50083,842,I,3
50083,275835,I,4
50105,26,I,1
50105,39,I,2
50105,219396,I,3
50105,666332,I,4
50371,341431,I,1
50371,623658,I,2
50371,290047,I,3
50371,527,I,4
50419,30,I,1
50419,1,I,2
50419,860373,I,3
50419,41509,I,4
50468,44,I,1
50468,18,I,2
50468,281766,I,3
50468,886888,I,4
50613,1536,I,1
50613,156928,I,2
50613,945222,I,3
50613,793766,I,4
50658,11,I,1
50658,30,I,2
50658,2001,I,3
50658,569410,I,4
50766,763,I,1
50766,192033,I,2
50766,532277,I,3
50766,219062,I,4
50798,570192,I,1
50798,662240,I,2
50798,456565,I,3
50798,948714,I,4
50825,18,I,1
50825,576127,I,2
50825,579663,I,3
50825,534317,I,4
50976,1884,I,1
50976,85038,I,2
50976,252345,I,3
50976,691555,I,4
50986,803705,I,1
50986,761,I,2
50986,862026,I,3
50986,85038,I,4
51036,44,I,1
51036,348,I,2
51036,365893,I,3
51036,590398,I,4
51201,61,I,1
51201,17,I,2
51201,1452,I,3
51201,6471,I,4
51337,558663,I,1
51337,335497,I,2
51337,264134,I,3
51337,857147,I,4
51378,603402,I,1
51378,740067,I,2
51378,693560,I,3
51378,78112,I,4
51418,537,I,1
51418,181080,I,2
51418,746505,I,3
51418,398250,I,4
51554,1088,I,1
51554,489,I,2
51554,1284,I,3
51554,834320,I,4
51622,373314,I,1
51622,654433,I,2
51622,1637,I,3
51622,3339,I,4
51658,1989,I,1
51658,2001,I,2
51658,431139,I,3
51658,320006,I,4
51744,1637,I,1
51744,645120,I,2
51744,519160,I,3
51744,550701,I,4
52311,32,I,1
52311,80,I,2
52311,1463,I,3
52311,130407,I,4
52357,71,I,1
52357,1571,I,2
52357,895,I,3
52357,375738,I,4
52520,785245,I,1
52520,566389,I,2
52520,1031805,I,3
52520,853299,I,4
52738,674012,I,1
52738,1859,I,2
52738,771584,I,3
52738,937,I,4
52893,728938,I,1
52893,645402,I,2
52893,202072,I,3
52893,53289,I,4
52918,1805,I,1
52918,1260,I,2
52918,364,I,3
52918,463435,I,4
53125,26,I,1
53125,1693,I,2
53125,51,I,3
53125,484829,I,4
