film,oseba,mesto
38355,725891,3
38355,896015,4
38559,28,1
38559,1229,2
38559,534317,3
38559,130407,4
38574,590055,1
38574,387753,2
38574,905697,3
38574,1739,4
38650,71,1
38650,1656,2
38650,859,3
38650,593775,4
38669,44,1
38669,1257,2
38669,639529,3
38669,215260,4
38762,20,1
38762,1105,2
38762,1514,3
38762,236157,4
38787,26,1
38787,6,2
38787,1647,3
38787,129894,4
38854,1805,1
38854,2092,2
38854,445523,3
38854,2025,4
38890,536167,1
38890,264762,2
38890,656496,3
38890,30383,4
38969,913095,1
38969,237985,2
38969,59934,3
38969,666087,4
38991,80,1
38991,64,2
38991,949835,3
38991,580882,4
39192,39,1
39192,268119,2
39192,733460,3
39192,481966,4
40522,536009,1
40522,821543,2
40522,136794,3
40522,22821,4
40525,28,1
40525,80,2
40525,806041,3
40525,26011,4
40636,280178,1
40636,3318,2
40636,366253,3
40636,852279,4
40662,628579,1
40662,27,2
40662,909727,3
40662,838066,4
40724,78,1
40724,1050,2
40724,238445,3
40724,974,4
40746,71,1
40746,197982,2
40746,335048,3
40746,389516,4
40897,7,1
40897,404158,2
40897,392529,3
40897,71636,4
41090,75,1
41090,31,2
41090,391062,3
41090,263885,4
41452,14,1
41452,1050,2
41452,724732,3
41452,394244,4
41959,80,1
41959,1072,2
41959,885098,3
41959,2145,4
42041,10,1
42041,562920,2
42041,639529,3
42041,943618,4
42192,12,1
42192,879,2
42192,1695,3
42192,2141,4
42208,1330,1
42208,129894,2
42208,353405,3
42208,926235,4
42332,940627,1
42332,531763,2
42332,41598,3
42332,271658,4
42530,197982,1
42530,192033,2
42530,471854,3
42530,138885,4
42546,71,1
42546,285922,2
42546,528621,3
42546,395067,4
42593,7,1
42593,2108,2
42593,522481,3
42593,717203,4
42788,1847,1
42788,74,2
42788,936727,3
42788,549280,4
42876,1536,1
42876,477553,2
42876,605270,3
42876,793766,4
42895,78,1
42895,58,2
42895,424565,3
42895,418741,4
43208,840,1
43208,789,2
43208,888573,3
43208,292433,4
43265,7,1
43265,31,2
43265,605923,3
43265,119988,4
43274,64607,1
43274,943956,2
43274,370821,3
43274,1359,4
43278,37,1
43278,1989,2
43278,505157,3
43278,350250,4
43456,719692,1
43456,623658,2
43456,549280,3
43456,415488,4
44079,335048,1
44079,908153,2
44079,738746,3
44079,1991,4
44081,46,1
44081,8,2
44081,1375,3
44081,1500,4
44121,864851,1
44121,792212,2
44121,790,3
44121,180452,4
44706,11,1
44706,38,2
44706,593775,3
44706,978,4
44741,793766,1
44741,437520,2
44741,385443,3
44741,848984,4
45274,61472,1
45274,143686,2
45274,312902,3
45274,800837,4
45555,1229,1
45555,2108,2
45555,104720,3
45555,780038,4
45897,1050,1
45897,879,2
45897,1500,3
45897,731,4
46183,237985,1
46183,64607,2
46183,175788,3
46183,859892,4
46250,60,1
46250,30,2
46250,734,3
46250,694403,4
46359,34,1
46359,852279,2
46359,695937,3
46359,833865,4
46478,605270,1
46478,477553,2
46478,849011,3
46478,593930,4
46672,18,1
46672,51,2
46672,510134,3
46672,48,4
46876,137999,1
46876,11105,2
46876,219396,3
46876,603875,4
46911,797531,1
46911,167243,2
46911,582890,3
46911,889024,4
46912,1537,1
46912,38,2
46912,191950,3
46912,2369,4
47034,793766,1
47034,386284,2
47034,847361,3
47034,442708,4
47296,8,1
47296,1500,2
47296,2011,3
47296,1768,4
47396,71,1
47396,38,2
47396,179819,3
47396,728812,4
47472,7225,1
47472,444476,2
47472,724143,3
47472,848560,4
