film,oseba,mesto
118849,619870,1
118849,268488,2
118849,781245,3
118849,415412,4
118880,115,1
118880,131,2
118880,518,3
118880,538,4
118883,154,1
118883,210,2
118883,1772,3
118883,185475,4
118884,149,1
118884,190,2
118884,643,3
118884,457,4
118887,230,1
118887,172,2
118887,501,3
118887,134,4
118928,112,1
118928,157,2
118928,808603,3
118928,284158,4
118929,1722,1
118929,662,2
118929,124,3
118929,458,4
118971,206,1
118971,199,2
118971,234,3
118971,470,4
118998,552,1
118998,1967,2
118998,1115,3
118998,1624,4
119008,199,1
119008,136,2
119008,514,3
119008,456124,4
119051,164,1
119051,285,2
119051,512,3
119051,674782,4
119081,401,1
119081,554,2
119081,599,3
119081,613,4
119086,224,1
119086,1125,2
119086,686,3
119086,860233,4
119094,237,1
119094,115,2
119094,260,3
119094,5273,4
119099,243,1
119099,422,2
119099,661,3
119099,1110,4
119109,245,1
119109,345,2
119109,506,3
119109,176,4
119115,92,1
119115,130,2
119115,177,3
119115,1589,4
119116,246,1
119116,170,2
119116,198,3
119116,453,4
119137,245,1
119137,1315,2
119137,1520,3
119137,505971,4
119164,1015,1
119164,929489,2
119164,4692,3
119164,810890,4
119167,521443,1
119167,618057,2
119167,295823,3
119167,317385,4
119173,193,1
119173,1557,2
119173,843,3
119173,892,4
119174,140,1
119174,679,2
119174,576,3
119174,714310,4
119177,160,1
119177,235,2
119177,179,3
119177,683,4
119190,409,1
119190,5182,2
119190,2006,3
119190,745780,4
119217,245,1
119217,354,2
119217,255,3
119217,1745,4
119223,160,1
119223,569,2
119223,279,3
119223,177933,4
119225,637,1
119225,619,2
119225,628601,3
119225,281486,4
119229,131,1
119229,378,2
119229,101,3
119229,349,4
119250,1429,1
119250,457229,2
119250,652592,3
119250,855398,4
119303,513281,1
119303,472762,2
119303,452748,3
119303,902188,4
119313,113,1
119313,1065,2
119313,1687,3
119313,926165,4
119345,1349,1
119345,1264,2
119345,162,3
119345,202,4
119349,177,1
119349,260,2
119349,244,3
119349,1089,4
119361,1173,1
119361,540164,2
119361,250368,3
119361,3140171,4
119381,239,1
119381,124,2
119381,1618,3
119381,1082,4
119395,246,1
119395,152,2
119395,1627,3
119395,893204,4
119396,427,1
119396,168,2
119396,1233,3
119396,403,4
119432,741,1
119432,1737,2
119432,1851,3
119432,357,4
119468,151,1
119468,171,2
119468,144,3
119468,564107,4
119472,1709,1
119472,509583,2
119472,888276,3
119472,1953,4
119488,228,1
119488,128,2
119488,1602,3
119488,107,4
119528,120,1
119528,5491,2
119528,372,3
119528,236,4
119558,460,1
119558,663,2
119558,429,3
119558,1449,4
119567,156,1
119567,194,2
119567,592,3
119567,681,4
119592,237,1
119592,163,2
119592,257,3
119592,477,4
119594,56,1
119594,215,2
119594,432,3
119594,702,4
119654,169,1
119654,226,2
119654,400,3
119654,352,4
119670,1085,1
119670,711805,2
119670,232,3
119670,1765,4
119695,221,1
119695,676,2
119695,181,3
119695,5264,4
119698,559444,1
119698,410942,2
119698,849100,3
119698,1082,4
119707,795225,1
119707,650,2
119707,1664,3
119707,381524,4
119715,1447,1
119715,262968,2
119715,507852,3
119715,1999,4
119718,558,1
119718,1488,2
119718,444832,3
119718,157915,4
119731,648,1
119731,178,2
119731,73137,3
119731,588222,4
119738,210,1
119738,551,2
119738,139,3
119738,391,4
119822,197,1
119822,166,2
119822,1427,3
119822,421,4
119874,123,1
119874,173,2
119874,411903,3
119874,51282,4
119891,564,1
119891,535,2
119891,324790,3
119891,630,4
119896,98,1
119896,1542,2
119896,102,3
119896,1156,4
119925,126,1
119925,1599,2
119925,5478,3
119925,931404,4
119942,237,1
119942,668,2
119942,870,3
119942,1306,4
119978,354,1
119978,362,2
119978,132,3
119978,685,4
120053,174,1
120053,223,2
120053,784884,3
120053,631792,4
120082,117,1
120082,1073,2
120082,274,3
120082,586,4
120102,93,1
120102,667,2
120102,703,3
120102,538683,4
120148,569,1
120148,1314,2
120148,1487,3
120148,675,4
120157,621,1
120157,1462,2
120157,5042,3
120157,1567,4
120176,188,1
120176,1262,2
120176,1714,3
120176,419633,4
120177,925220,1
120177,491,2
120177,640,3
120177,5337,4
120179,113,1
120179,574,2
120179,353,3
120179,607325,4
120184,163,1
120184,232,2
120184,168,3
120184,1075,4
120188,123,1
120188,242,2
120188,1084,3
120188,5069,4
120201,680,1
120201,612,2
120201,539,3
120201,998,4
120207,641944,1
120207,1272,2
120207,555,3
120207,745780,4
120324,200,1
120324,671,2
120324,403,3
120324,109785,4
120338,138,1
120338,701,2
120338,708,3
120338,870,4
120347,112,1
120347,596,2
120347,706,3
120347,159,4
120363,158,1
120363,741,2
120363,349,3
120363,1288,4
120382,120,1
120382,438,2
120382,1473,3
120382,1187,4
120399,576,1
120399,182,2
120399,560,3
120399,671,4
120461,169,1
120461,162,2
120461,451,3
120461,332,4
120483,195,1
120483,695,2
120483,1251,3
120483,934014,4
120484,1191,1
120484,870,2
120484,1857,3
120484,103,4
120520,307,1
120520,730070,2
120520,421105,3
120520,1648,4
120524,491079,1
120524,228678,2
120524,780133,3
120524,52880,4
120540,451321,1
120540,4487,2
120540,659156,3
120540,787447,4
120577,202,1
120577,161,2
120577,117,3
120577,196,4
120586,1570,1
120586,411,2
120586,350,3
120586,497,4
120587,95,1
120587,232,2
120587,432,3
120587,230,4
120591,246,1
120591,671,2
120591,255,3
120591,239,4
120595,844294,1
120595,197354,2
120595,1682,3
120595,342,4
120601,131,1
120601,139,2
120601,1416,3
120601,518,4
120609,242,1
120609,1617,2
120609,775,3
120609,984,4
120611,648,1
120611,1151,2
120611,1434,3
120611,942668,4
120616,409,1
120616,1838,2
120616,1314,3
120616,903677,4
120620,132,1
120620,295,2
120620,597,3
120620,453492,4
120623,228,1
120623,4929,2
120623,506,3
120623,659363,4
120630,154,1
120630,768018,2
120630,200057,3
120630,272521,4
120631,106,1
120631,1378,2
120631,779084,3
120631,324009,4
120632,115,1
120632,212,2
120632,105672,3
120632,1240,4
120633,237,1
120633,380,2
120633,599,3
120633,1724,4
120647,380,1
120647,495,2
120647,704,3
120647,151,4
120657,104,1
120657,893204,2
120657,832509,3
120657,474520,4
120662,191,1
120662,171,2
120662,920,3
120662,991,4
120663,129,1
120663,173,2
120663,276062,3
120663,1628,4
120667,344435,1
120667,4821,2
120667,262635,3
120667,4695,4
120669,136,1
120669,1125,2
120669,1497,3
120669,324672,4
120679,161,1
120679,547,2
120679,1691,3
120679,535502,4
120681,136,1
120681,1287,2
120681,453,3
120681,1059,4
120684,5212,1
120684,409,2
120684,1655,3
120684,357,4
120685,111,1
120685,606,2
120685,1623,3
120685,279,4
120686,210,1
120686,215,2
120686,438,3
120686,540441,4
120689,158,1
120689,3817,2
120689,1556,3
120689,1372,4
120694,130,1
120694,1326,2
120694,35060,3
120694,931329,4
120701,552,1
120701,156,2
120701,593,3
120701,5162,4
120710,906,1
120710,375,2
120710,756218,3
120710,1644,4
120728,1721,1
120728,295,2
120728,1177,3
120728,40015,4
120735,2076,1
120735,2077,2
120735,602941,3
120735,5458,4
120737,704,1
120737,5212,2
120737,89217,3
120737,293,4
120738,198,1
120738,458,2
120738,1455,3
120738,211,4
120741,1542,1
120741,775,2
120741,978,3
120741,121605,4
120744,138,1
120744,460,2
120744,518,3
120744,367,4
120746,104,1
120746,164,2
120746,1876,3
120746,851767,4
120749,246,1
120749,400816,2
120749,285,3
120749,564277,4
120751,200,1
120751,234,2
120751,784884,3
120751,278752,4
120755,129,1
120755,779084,2
120755,628601,3
120755,609,4
120762,1840,1
120762,552,2
120762,703,3
120762,1208,4
120764,502,1
120764,1099,2
120764,167,3
120764,435,4
120768,168,1
120768,228,2
120768,1556,3
120768,726492,4
120780,123,1
120780,182,2
120780,609,3
120780,1872,4
120783,517820,1
120783,598,2
120783,1670,3
120783,5006,4
120784,154,1
120784,1344,2
120784,4742,3
120784,1601,4
120786,219,1
120786,428618,2
120786,765605,3
120786,593734,4
120787,140,1
120787,569,2
120787,1557,3
120787,837064,4
120789,1497,1
120789,1099,2
120789,260,3
120789,513,4
120791,113,1
120791,173,2
120791,330,3
120791,1848,4
120794,174,1
120794,146,2
120794,201,3
120794,113,4
120797,131,1
120797,671,2
120797,949,3
120797,1401,4
120802,147605,1
120802,81175,2
120802,464855,3
120802,2076,4
120804,170,1
120804,735442,2
120804,1011675,3
120804,668994,4
120815,158,1
120815,354,2
120815,1744,3
120815,122653,4
120824,228,1
120824,194,2
120824,1132,3
120824,949,4
120828,148,1
120828,162,2
120828,1710,3
120828,5283,4
120831,5169,1
120831,273,2
120831,918934,3
120831,673,4
120832,115,1
120832,641,2
120832,1334,3
120832,1303,4
120841,449,1
120841,514,2
120841,1339,3
120841,932112,4
120844,1772,1
120844,408,2
120844,653,3
120844,996,4
120857,1749,1
120857,1132,2
120857,687506,3
120857,333,4
120863,1029,1
120863,576,2
120863,560,3
120863,9716,4
120866,164,1
120866,1448,2
120866,428965,3
120866,195083,4
120868,782213,1
120868,194572,2
120868,38572,3
120868,483942,4
120873,169,1
120873,648,2
120873,375,3
120873,1592,4
120877,249,1
120877,838,2
120877,498247,3
120877,1299,4
120885,163,1
120885,134,2
120885,162,3
120885,437,4
120888,1191,1
120888,106,2
120888,852132,3
120888,184445,4
120889,245,1
120889,421,2
120889,1711,3
120889,1884,4
120890,102,1
120890,117,2
120890,369,3
120890,612,4
120891,226,1
120891,177,2
120891,110,3
120891,161,4
120901,558,1
120901,1077,2
120901,1456,3
120901,569927,4
120902,141,1
120902,96,2
120902,627453,3
120902,205657,4
120903,1772,1
120903,413168,2
120903,5212,3
120903,463,4
120907,179,1
120907,492,2
120907,453,3
120907,353,4
120912,169,1
120912,226,2
120912,1800,3
120912,1223,4
120915,191,1
120915,553,2
120915,204,3
120915,5157,4
120917,5450,1
120917,422,2
120917,457755,3
120917,911320,4
121164,136,1
121164,307,2
121164,1833,3
121164,1808,4
121220,945881,1
121220,1035500,2
121220,637586,3
121220,770832,4
121765,159789,1
121765,204,2
121765,191,3
121765,489,4
121766,159789,1
121766,204,2
121766,191,3
121766,168,4
121955,5295,1
121955,1778,2
121955,5002,3
121955,551065,4
122151,154,1
122151,418,2
122151,582,3
122151,623,4
122459,141,1
122459,378,2
122459,5279,3
122459,5162,4
122541,391,1
122541,194,2
122541,891092,3
122541,378,4
122690,134,1
122690,606,2
122690,1523,3
122690,1745,4
122718,379,1
122718,808376,2
122718,189144,3
122718,1542,4
122933,134,1
122933,345,2
122933,1435,3
122933,1590,4
123209,496,1
123209,473,2
123209,610,3
123209,643,4
123948,353717,1
123948,945131,2
123948,880299,3
123948,619953,4
124315,1497,1
124315,234,2
124315,323,3
124315,5148,4
125022,244,1
125022,1349,2
125022,432,3
125022,501,4
125439,424,1
125439,210,2
125439,564500,3
125439,406975,4
125454,1687,1
125454,1724,2
125454,1507,3
125454,1117,4
125659,635330,1
125659,4851,2
125659,503443,3
125659,555093,4
125664,120,1
125664,362,2
125664,65418,3
125664,671761,4
126029,196,1
126029,552,2
126029,139,3
126029,1475,4
126170,492620,1
126170,424534,2
126170,204771,3
126170,172636,4
126250,335,1
126250,194,2
126250,239,3
126250,563,4
126388,241,1
126388,15382,2
126388,925,3
126388,268297,4
126886,111,1
126886,702,2
126886,5098,3
126886,4795,4
127536,949,1
127536,318884,2
127536,191358,3
127536,289183,4
128278,164,1
128278,421,2
128278,661,3
128278,5491,4
128442,354,1
128442,1570,2
128442,1543,3
128442,518,4
128445,5403,1
128445,195,2
128445,931404,3
128445,1025,4
128853,158,1
128853,212,2
128853,1427,3
128853,205,4
129167,547349,1
129167,1065,2
129167,98,3
129167,4874,4
129290,245,1
129290,518687,2
129290,5321,3
129290,450,4
129387,139,1
129387,369,2
129387,1774,3
129387,262968,4
130018,1349,1
130018,5327,2
130018,5275,3
130018,1616,4
130623,665,1
130623,523,2
130623,942787,3
130623,5569,4
130827,4376,1
130827,1953,2
130827,460578,3
130827,677899,4
131179,847439,1
131179,906722,2
131179,11432743,3
131179,436776,4
131325,188,1
131325,552,2
131325,1287,3
131325,4724,4
131613,164682,1
131613,330015,2
131613,667326,3
131613,171243,4
131704,134,1
131704,623,2
131704,5305,3
131704,4517,4
132347,1774,1
132347,413,2
132347,513,3
132347,279,4
132477,350453,1
132477,177933,2
132477,368,3
132477,654104,4
132512,174,1
132512,227,2
132512,534,3
132512,1836,4
133046,545,1
133046,4846,2
133046,5017,3
133046,1787,4
133093,206,1
133093,401,2
133093,5251,3
133093,915989,4
133240,330687,1
133240,668,2
133240,1737,3
133240,1975,4
133751,108287,1
133751,245112,2
133751,364977,3
133751,1326,4
133952,243,1
133952,246,2
133952,906,3
133952,1724,4
134084,274,1
134084,117,2
134084,1073,3
134084,630,4
134119,354,1
134119,569,2
134119,179,3
134119,949,4
134154,1497,1
134154,240,2
134154,452962,3
134154,42090,4
134273,115,1
134273,1618,2
134273,1254,3
134273,1780,4
134619,5188,1
134619,5017,2
134619,1763,3
134619,576425,4
137338,255,1
137338,729,2
137338,152638,3
137338,246585,4
137363,313,1
137363,209,2
137363,349,3
137363,204706,4
137494,125,1
137494,1876,2
137494,609,3
137494,1599,4
137523,93,1
137523,1570,2
137523,1533,3
137523,340260,4
138304,234,1
138304,136,2
138304,608012,3
138304,245112,4
138524,123,1
138524,1876,2
138524,671,3
138524,1691,4
138704,347797,1
138704,546797,2
138704,791570,3
138704,366466,4
138749,177,1
138749,110,2
138749,1609,3
138749,800,4
139134,1264,1
139134,202,2
139134,702,3
139134,4757,4
139239,1631,1
139239,1542,2
139239,937930,3
139239,4875,4
139654,243,1
139654,160,2
139654,1277,3
139654,297,4
139774,1384023,1
139774,1070753,2
139774,637586,3
139774,590888,4
139809,81572,1
139809,1543,2
139809,90,3
139809,352,4
140352,128,1
140352,199,2
140352,1626,3
140352,893204,4
140379,177,1
140379,201,2
140379,391,3
140379,1804,4
141842,1254,1
141842,966,2
141842,4908,3
141842,408284,4
141926,190,1
141926,200,2
141926,172,3
141926,954,4
142342,1191,1
142342,725,2
142342,829537,3
142342,819850,4
142688,136,1
142688,1449,2
142688,565,3
142688,782561,4
143145,112,1
143145,521,2
143145,1015,3
143145,612,4
144084,288,1
144084,857620,2
144084,524197,3
144084,756083,4
144120,236,1
144120,374,2
144120,1337,3
144120,820903,4
144214,237,1
144214,656,2
144214,342,3
144214,459,4
144528,552,1
144528,1390,2
144528,588777,3
144528,18099,4
144964,483,1
144964,1600,2
144964,668271,3
144964,53887,4
145487,1497,1
145487,379,2
145487,353,3
145487,290556,4
145531,99,1
145531,321,2
145531,596,3
145531,505,4
145547,5132,1
145547,986,2
145547,275913,3
145547,519212,4
145681,243,1
145681,1401,2
145681,1451,3
145681,740264,4
146309,126,1
146309,339304,2
146309,238057,3
146309,177020,4
146316,1401,1
146316,685,2
146316,322513,3
146316,852965,4
146336,1467,1
146336,1860,2
146336,1261,3
146336,742146,4
146675,216,1
146675,321,2
146675,677,3
146675,1629,4
146838,199,1
146838,598,2
146838,139,3
146838,249,4
146882,131,1
146882,5013,2
146882,521974,3
146882,85312,4
146984,226,1
146984,354,2
146984,234,3
146984,569226,4
147612,11038,1
147612,1484,2
147612,450,3
147612,48414,4
147746,295115,1
147746,175834,2
147746,866300,3
147746,838588,4
147800,5132,1
147800,5466,2
147800,330687,3
147800,646351,4
149261,5048,1
149261,4787,2
149261,168,3
149261,571537,4
150377,171,1
150377,169,2
150377,339304,3
150377,918573,4
150662,197164,1
150662,510275,2
150662,137907,3
150662,751798,4
151137,170,1
151137,518,2
151137,12683,3
151137,19336,4
151568,980,1
151568,179680,2
151568,2077,3
151568,810058,4
151738,106,1
151738,274,2
151738,890232,3
151738,788340,4
152930,618651,1
152930,225899,2
152930,182839,3
152930,332659,4
154061,191906,1
154061,444786,2
154061,16141,3
154061,921942,4
154420,860947,1
154420,605786,2
154420,488917,3
154420,824785,4
154421,433697,1
154421,16850,2
154421,368482,3
154421,527937,4
154506,857458,1
154506,369918,2
154506,751301,3
154506,634297,4
155267,112,1
155267,623,2
155267,1459,3
155267,1262,4
155776,535,1
155776,1261,2
155776,4748,3
155776,4301,4
156812,5260,1
156812,102,2
156812,178,3
156812,5561,4
156887,412585,1
156887,559551,2
156887,875320,3
156887,959991,4
157016,619600,1
157016,502133,2
157016,656803,3
157016,41626,4
157246,5202,1
157246,5226,2
157246,5259,3
157246,5003,4
157262,558,1
157262,935807,2
157262,339619,3
157262,250718,4
158552,1061,1
158552,192,2
158552,470182,3
158552,535,4
158622,4692,1
158622,286,2
158622,5060,3
158622,5105,4
158714,435299,1
158714,475910,2
158714,197379,3
158714,15128,4
158983,5295,1
158983,1778,2
158983,74834,3
158983,5002,4
159097,379,1
159097,1326,2
159097,249,3
159097,678,4
159206,572,1
159206,326,2
159206,4862,3
159206,633223,4
159273,432,1
159273,5562,2
159273,532683,3
159273,925916,4
159365,179,1
159365,173,2
159365,250,3
159365,40586,4
159382,654110,1
159382,714919,2
159382,50437,3
159382,607916,4
160009,648,1
160009,271,2
160009,1999,3
160009,559069,4
160127,139,1
160127,106,2
160127,5154,3
160127,195,4
160184,230,1
160184,1165,2
160184,908116,3
160184,1434,4
160399,111274,1
160399,352,2
160399,641,3
160399,656,4
160862,5327,1
160862,337,2
160862,498,3
160862,908094,4
160904,278752,1
160904,800179,2
160904,908070,3
160904,672303,4
160916,246,1
160916,201,2
160916,719705,3
160916,762424,4
161081,148,1
161081,201,2
161081,870007,3
161081,1584,4
161083,1454,1
161083,362,2
161083,491,3
161083,444,4
161860,477810,1
161860,632457,2
161860,352278,3
161860,648943,4
162065,4770,1
162065,4806,2
162065,219206,3
162065,724124,4
162222,158,1
162222,166,2
162222,584052,3
162222,925096,4
162346,114,1
162346,301,2
162346,424060,3
162346,605,4
162650,168,1
162650,1853,2
162650,288,3
162650,942482,4
162661,136,1
162661,207,2
162661,1669,3
162661,2091,4
162983,473,1
162983,212,2
162983,1435,3
162983,527,4
163025,554,1
163025,513,2
163025,495,3
163025,5273,4
163187,210,1
163187,152,2
163187,349,3
163187,1185,4
163503,624086,1
163503,165087,2
163503,932753,3
163503,324601,4
163651,4755,1
163651,5098,2
163651,5272,3
163651,177639,4
163988,115,1
163988,99,2
163988,422,3
163988,609,4
164052,102,1
164052,223,2
164052,982,3
164052,225332,4
164181,102,1
164181,178574,2
164181,2062,3
164181,1152,4
164184,255,1
164184,151,2
164184,1172817,3
164184,90309,4
164212,151,1
164212,432,2
164212,5048,3
164212,899,4
164334,151,1
164334,699,2
164334,5321,3
164334,48414,4
164912,150,1
164912,133,2
164912,491402,3
164912,5151,4
165581,416673,1
165581,718957,2
165581,5467,3
165581,652663,4
165598,333410,1
165598,696059,2
165598,5109,3
165598,5194,4
165798,1845,1
165798,798328,2
165798,868110,3
165798,331054,4
165832,5188,1
165832,198,2
165832,621,3
165832,249378,4
165854,654,1
165854,1228,2
165854,690,3
165854,350079,4
165929,1472,1
165929,4691,2
165929,913460,3
165929,5568,4
165982,93,1
165982,1876,2
165982,1212,3
165982,201,4
166396,846,1
166396,446303,2
166396,1217,3
166396,528462,4
166813,354,1
166813,342,2
166813,836070,3
166813,76718,4
166896,2070,1
166896,651,2
166896,1886964,3
166896,139388,4
166924,915208,1
166924,5009,2
166924,857620,3
166924,60931,4
166943,658,1
166943,1458,2
166943,227693,3
166943,29400,4
167190,579,1
167190,427964,2
167190,4757,3
167190,457,4
167260,704,1
167260,1557,2
167260,5212,3
167260,89217,4
167261,704,1
167261,5212,2
167261,1557,3
167261,89217,4
167404,246,1
167404,5286,2
167404,1057,3
167404,931404,4
168629,1951,1
168629,366,2
168629,1556,3
168629,1780,4
169102,451148,1
169102,944834,2
169102,961737,3
169102,791226,4
169414,877599,1
169414,110518,2
169414,23030,3
169414,227831,4
169547,228,1
169547,906,2
169547,301,3
169547,4747,4
169880,644527,1
169880,370677,2
169880,594436,3
169880,594074,4
171363,553,1
171363,1876,2
171363,5562,3
171363,666,4
171433,1774,1
171433,1570,2
171433,1184,3
171433,843,4
171804,5476,1
171804,1721,2
171804,765597,3
171804,786639,4
172396,146,1
172396,194,2
172396,1653,3
172396,428211,4
172493,213,1
172493,1401,2
172493,245112,3
172493,5261,4
172495,128,1
172495,1618,2
172495,1567,3
172495,1657,4
172684,451321,1
172684,4418,2
172684,611552,3
172684,755705,4
173716,429,1
173716,1151,2
173716,1860,3
173716,4978,4
173840,285,1
173840,114,2
173840,1840,3
173840,609,4
174378,1101,1
174378,935589,2
174378,395,3
174378,809938,4
174480,152,1
174480,213,2
174480,1439,3
174480,834626,4
174856,243,1
174856,788370,2
174856,679,3
174856,630,4
175526,5261,1
175526,1542,2
175526,299,3
175526,103038,4
175880,129,1
175880,1673,2
175880,194,3
175880,450,4
176269,241,1
176269,4966,2
176269,770039,3
176269,925220,4
177789,741,1
177789,244,2
177789,614,3
177789,1724,4
177971,123,1
177971,242,2
177971,604,3
177971,178,4
178737,640323,1
178737,1538,2
178737,5273,3
178737,853364,4
178868,559652,1
178868,620397,2
178868,847624,3
178868,766212,4
179116,5169,1
179116,245112,2
179116,931329,3
179116,929683,4
179626,134,1
179626,122653,2
179626,1288,3
179626,984,4
180052,552,1
180052,1542,2
180052,1642,3
180052,206257,4
180073,1691,1
180073,701,2
180073,1618,3
180073,323,4
180093,995,1
180093,1467,2
180093,124,3
180093,5541,4
180734,206,1
180734,178,2
180734,370035,3
180734,372522,4
181316,1454,1
181316,5561,2
181316,338886,3
181316,152638,4
181536,125,1
181536,114532,2
181536,719,3
181536,1593,4
181689,129,1
181689,268199,2
181689,608090,3
181689,1884,4
181852,216,1
181852,1763,2
181852,518085,3
181852,132,4
181865,140,1
181865,1125,2
181865,1876,3
181865,889846,4
181875,1082,1
181875,297578,2
181875,5028,3
181875,531,4
181984,610,1
181984,4874,2
181984,505,3
181984,441588,4
182576,532235,1
182576,97504,2
182576,1293,3
182576,5109,4
182789,245,1
182789,1110,2
182789,554,3
182789,1624,4
183523,209,1
183523,641,2
183523,332,3
183523,1567,4
183649,268199,1
183649,662,2
183649,1845,3
183649,593664,4
183790,5132,1
183790,4692,2
183790,1722,3
183790,815370,4
183869,618651,1
183869,225899,2
183869,803558,3
183869,182839,4
184526,329,1
184526,795517,2
184526,504897,3
184526,154235,4
184894,329,1
184894,5562,2
184894,5154,3
184894,581266,4
184907,331,1
184907,916406,2
184907,4922,3
184907,254402,4
185125,5386,1
185125,4650,2
185125,679150,3
185125,760665,4
185133,765815,1
185133,1037430,2
185133,754526,3
185133,186528,4
185183,237,1
185183,1845,2
185183,1608,3
185183,167649,4
185371,1691,1
185371,463,2
185371,4875,3
185371,1251,4
185431,1191,1
185431,99,2
185431,172,3
185431,406975,4
186151,598,1
186151,1029,2
186151,236495,3
186151,593310,4
186566,142,1
186566,169,2
186566,661,3
186566,1258,4
186894,255,1
186894,569,2
186894,449,3
186894,249962,4
187078,115,1
187078,1401,2
187078,610,3
187078,189278,4
187393,154,1
187393,5132,2
187393,613,3
187393,5042,4
187664,828961,1
187664,670408,2
187664,212626,3
187664,296545,4
187696,4376,1
187696,299811,2
187696,519756,3
187696,88935,4
187738,648,1
187738,1434,2
187738,579,3
187738,7237,4
188453,173,1
188453,1993,2
188453,1035,3
188453,440913,4
188674,799591,1
188674,683455,2
188674,662744,3
188674,721885,4
190138,246,1
190138,1612,2
190138,275,3
190138,3817,4
190332,334,1
190332,706,2
190332,955471,3
190332,151654,4
190374,923529,1
190374,460,2
190374,572721,3
190374,668271,4
190590,123,1
190590,1806,2
190590,625789,3
190590,422,4
192614,5045,1
192614,908094,2
192614,4991,3
192614,4753,4
193676,4802,1
193676,197855,2
193676,290556,3
193676,505949,4
195685,210,1
195685,1215,2
195685,109773,3
195685,225767,4
198781,345,1
198781,422,2
198781,316701,3
198781,114,4
199626,212,1
199626,749263,2
199626,492,3
199626,1476796,4
199683,1429,1
199683,782858,2
199683,457229,3
199683,317243,4
199725,5125,1
199725,4898,2
199725,154071,3
199725,929615,4
199753,174,1
199753,5251,2
199753,1744,3
199753,973,4
200071,220183,1
200071,740090,2
200071,947650,3
200071,332709,4
200087,451148,1
200087,787462,2
200087,7114,3
200087,728262,4
200276,640,1
200276,507,2
200276,5049,3
200276,817983,4
200465,5458,1
200465,4787,2
200465,1304386,3
200465,990547,4
200550,5305,1
200550,305081,2
200550,422,3
200550,4742,4
202677,202,1
202677,1125,2
202677,496,3
202677,4875,4
203009,173,1
203009,191,2
203009,491,3
203009,980,4
203019,421,1
203019,134,2
203019,234,3
203019,254712,4
203166,511841,1
203166,638824,2
203166,760571,3
203166,450269,4
203230,1473,1
203230,111,2
203230,752407,3
203230,183613,4
203259,2127,1
203259,5221,2
203259,1384,3
203259,282648,4
203755,239,1
203755,369,2
203755,809277,3
203755,140,4
204137,353,1
204137,411,2
204137,1803,3
204137,95478,4
204946,379,1
204946,244630,2
204946,103038,3
204946,5517,4
204993,4695,1
204993,915762,2
204993,348226,3
204993,533323,4
205000,1705,1
205000,1235,2
205000,341176,3
205000,54397,4
205177,256960,1
205177,121755,2
205177,406975,3
205177,292182,4
206013,38378,1
206013,557953,2
206013,32892,3
206013,4626963,4
206314,1872,1
206314,908094,2
206314,5447,3
206314,101333,4
206512,444786,1
206512,265067,2
206512,120309,3
206512,317,4
206634,194,1
206634,654110,2
206634,252230,3
206634,323,4
206917,207,1
206917,949,2
206917,946160,3
206917,484606,4
207201,154,1
207201,166,2
207201,673,3
207201,257,4
208003,1454,1
208003,505,2
208003,316079,3
208003,913465,4
208092,5458,1
208092,93,2
208092,334318,3
208092,5068,4
208874,260,1
208874,198,2
208874,313,3
208874,225,4
209077,1076235,1
209077,120023,2
209077,1232566,3
209077,199920,4
209144,1602,1
209144,5251,2
209144,1592,3
209144,95478,4
209163,409,1
209163,1838,2
209163,1314,3
209163,903677,4
209475,182,1
209475,190,2
209475,933098,3
209475,150362,4
209958,182,1
209958,681,2
209958,352,3
209958,416381,4
210413,641168,1
210413,26879,2
210413,582939,3
210413,3620,4
210945,243,1
210945,1599,2
210945,365445,3
210945,403652,4
211443,387987,1
211443,230693,2
211443,311473,3
211443,343,4
211465,62752,1
211465,454,2
211465,4874,3
211465,1608,4
211915,851582,1
211915,440913,2
211915,749363,3
211915,186677,4
211933,159789,1
211933,4695,2
211933,5024,3
211933,565,4
211938,4937,1
211938,1556,2
211938,665123,3
211938,6535,4
212338,1774,1
212338,134,2
212338,1632,3
212338,1100,4
212346,113,1
212346,323,2
212346,973,3
212346,298,4
212671,5260,1
212671,186505,2
212671,73678,3
212671,838059,4
212712,504897,1
212712,955471,2
212712,910947,3
212712,84,4
212720,5286,1
212720,179,2
212720,640323,3
212720,730168,4
212985,164,1
212985,194,2
212985,198,3
212985,501,4
213149,255,1
213149,295,2
213149,1326,3
213149,5406,4
213203,4815,1
213203,197354,2
213203,153719,3
213203,152839,4
213327,1757,1
213327,753121,2
213327,78324,3
213327,941315,4
213338,945290,1
213338,411167,2
213338,370677,3
213338,89710,4
213790,5218,1
213790,663854,2
213790,1850,3
213790,936762,4
213847,899,1
213847,837868,2
213847,270119,3
213847,681218,4
213890,821,1
213890,451321,2
213890,159167,3
213890,361407,4
214341,364629,1
214341,754526,2
214341,573926,3
214341,770832,4
214388,6958,1
214388,4825,2
214388,4867,3
214388,1337,4
215129,5227,1
215129,5405,2
215129,5442,3
215129,182455,4
216216,216,1
216216,1650,2
216216,1282,3
216216,740264,4
216625,300,1
216625,627245,2
216625,81547,3
216625,357649,4
216651,57314,1
216651,497570,2
216651,781899,3
216651,283253,4
217505,138,1
217505,139,2
217505,358,3
217505,980,4
217630,4755,1
217630,2546,2
217630,651008,3
217630,755603,4
217869,246,1
217869,168,2
217869,705,3
217869,4829,4
218553,620397,1
218553,766212,2
218553,297906,3
218553,463201,4
218817,202,1
218817,209,2
