id,naslov,leto-zacetek,leto-konec,dolzina,leto,ocena,metascore,glasovi,zasluzek,oznaka,opis
28096,The Petrified Forest,1936,1936,82,1936,7.6,,13408,,,"A waitress, a hobo and a bank robber get mixed up at a lonely diner in the desert."
28333,Swing Time,1936,1936,103,1936,7.6,91,13127,,,"Roguish gambler/dancer ""Lucky"" Garnett is challenged by his fiance's father to come up with $25,000 to prove he's worthy of her hand. But after he falls in love with a dance instructor, Lucky'll do anything to keep from earning the bucks."
28772,En dan smeha,1937,1937,111,1937,7.6,,13573,,,A veterinarian posing as a doctor teams with a singer and his friends as they struggle to save an upstate New York sanitarium with the help of a misfit racehorse.
29162,Lost Horizon,1937,1937,132,1937,7.7,,12640,,,"When a revered diplomat's plane is diverted and crashes in the peaks of Tibet, he and the other survivors are guided to an isolated monastery at Shangri-La, where they wrestle with the invitation to stay."
29583,Sneguljčica in sedem škratov,1937,1937,83,1937,7.6,95,190509,184925485,Approved,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household."
29843,Robin Hood,1938,1938,102,1938,7.9,97,49389,3981000,PG,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence in 1190s England, a Saxon lord fights back as the outlaw leader of a resistance movement."
30241,Flirt,1938,1938,95,1938,7.8,,15648,,,A young man in love with a girl from a rich family finds his unorthodox plan to go on holiday for the early years of his life met with skepticism by everyone except for his fiancée's eccentric sister and long-suffering brother.
30287,Jezebel,1938,1938,104,1938,7.5,,13017,,,"In 1850s Louisiana, a free-spirited Southern belle loses her fiancé due to her stubborn vanity and pride, and vows to win him back."
30341,Gospa izginja,1938,1938,96,1938,7.8,98,50469,,,"While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train."
30993,Večna iluzija,1938,1938,126,1938,7.9,,24703,4659913,,"The son of a snobbish Wall Street banker becomes engaged to a woman from a good-natured but decidedly eccentric family, not realizing that his father is trying to force her family from their home for a real estate development."
31381,V vrtincu,1939,1939,238,1939,8.1,97,302844,198676459,,The manipulative daughter of a Georgia plantation owner conducts a turbulent romance with a roguish profiteer during the American Civil War and Reconstruction periods.
31679,Mister Smith v senatu,1939,1939,129,1939,8.1,73,111935,9600000,,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character."
31725,Ninočka,1939,1939,110,1939,7.9,,20261,1187000,,A stern Soviet woman sent to Paris to supervise the sale of jewels seized from Russian nobles finds herself attracted to a man who represents everything she is supposed to detest.
31762,Only Angels Have Wings,1939,1939,121,1939,7.7,86,13507,,,"At a remote South American trading port, the manager of an air-freight company is forced to risk his pilots' lives in order to win an important contract as a traveling American showgirl stops in town."
31867,The Roaring Twenties,1939,1939,106,1939,7.9,,13557,,,Three men attempt to make a living in Prohibitionist America after returning home from fighting together in World War I.
32138,Čarovnik iz Oza,1939,1939,102,1939,8.0,92,380907,2076020,PG,"Young Dorothy Gale and her dog are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes."
32143,V ženskem carstvu,1939,1939,133,1939,7.8,,13421,2270000,,A study of the lives and romantic entanglements of various interconnected women.
32455,Fantasia,1940,1940,125,1940,7.7,96,92360,76408097,,"A collection of animated interpretations of great works of Western classical music, ranging from the abstract to depictions of mythology and fantasy, and settings including the prehistoric, supernatural and sacred."
32484,Dopisnik iz tujine,1940,1940,120,1940,7.5,88,19873,3484588,,"On the eve of World War II, a young American reporter tries to expose enemy agents in London."
32551,The Grapes of Wrath,1940,1940,129,1940,8.1,96,89758,55000,,"An Oklahoma family driven off their farm by the poverty and hopelessness of the Dust Bowl joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression."
32599,Njegovo dekle Petek,1940,1940,92,1940,7.9,,56398,296000,,A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.
32701,Pismo,1940,1940,95,1940,7.6,,12649,,,"The wife of a rubber plantation administrator shoots a man to death and claims it was self-defense, but a letter in her own hand may prove her undoing."
32904,The Philadelphia Story,1940,1940,112,1940,7.9,96,66597,,,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself."
32910,Pinocchio,1940,1940,88,1940,7.4,99,137717,84254167,G,"A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy."
32976,Rebeka,1940,1940,130,1940,8.1,86,131785,4360000,,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
33045,Trgovina za vogalom,1940,1940,99,1940,8.1,96,30398,203300,,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal."
33152,The Thief of Bagdad,1940,1940,106,1940,7.5,,12782,268948,,"After being tricked and cast out of Bagdad by the evil Jaffar, King Ahmad joins forces with a thief named Abu to reclaim his throne, the city, and the Princess he loves."
33373,Ball of Fire,1941,1941,111,1941,7.8,78,11950,,,A group of professors working on a new encyclopedia while living in a Manhattan mansion take in a mouthy nightclub singer who is wanted by the police to help bring down her mob boss lover.
33467,Državljan Kane,1941,1941,119,1941,8.3,100,424609,1585634,PG,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'."
33563,Dumbo,1941,1941,64,1941,7.2,96,126288,1600000,G,"Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential."
33729,How Green Was My Valley,1941,1941,118,1941,7.7,88,23056,,,"At the turn of the century in a Welsh mining village, the Morgans, he stern, she gentle, raise coal-mining sons and hope their youngest will find a better life."
33804,Lady Eve,1941,1941,94,1941,7.8,96,20630,,,"A trio of classy card sharps targets the socially awkward heir to brewery millions for his money, until one of them falls in love with him."
33870,Malteški sokol,1941,1941,100,1941,8.0,97,154105,2108060,,"San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette, with the stakes rising after his partner is murdered."
33891,Meet John Doe,1941,1941,135,1941,7.6,,12971,,,"A penniless drifter is recruited by an ambitious columnist to impersonate a non-existent person who said he'd be committing suicide as a protest, and a political movement begins."
34240,Sullivanova potovanja,1941,1941,90,1941,7.9,,25498,,,Hollywood director John L Sullivan sets out to experience life as a homeless person in order to gain relevant life experience for his next movie.
34398,The Wolf Man,1941,1941,70,1941,7.3,72,25824,,,"Larry Talbot returns to his father's castle in Wales and meets a beautiful woman. One fateful night, Talbot escorts her to a local carnival where they meet a mysterious gypsy fortune teller."
34492,Bambi,1942,1942,70,1942,7.3,91,136863,102797150,G,The story of a young deer growing up in the forest.
34583,Casablanca,1942,1942,102,1942,8.5,100,545747,1024560,PG,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
35015,Velicastni Ambersonovi,1942,1942,88,1942,7.7,93,23879,,,The spoiled young heir to the decaying Amberson fortune comes between his widowed mother and the man she has always loved.
35279,Saboter,1942,1942,109,1942,7.2,64,24855,,,A young man accused of sabotage goes on the lam to prove his innocence.
35423,Kate in Leopold,2001,2001,118,2001,6.4,44,81855,47121859,PG-13,An English Duke from 1876 is inadvertedly dragged to modern day New York where he falls for a plucky advertising executive.
35575,Yankee Doodle Dandy,1942,1942,126,1942,7.7,89,15022,11800000,,"The life of the renowned musical composer, playwright, actor, dancer, and singer George M. Cohan."
36027,I Walked with a Zombie,1943,1943,69,1943,7.1,,11917,,,"A nurse is hired to care for the wife of a sugar plantation owner, who has been acting strangely, on a Caribbean island."
