film,zanr
49406,Drama
49406,Film-Noir
49408,Biography
49408,Drama
49408,Musical
49730,Adventure
49730,Drama
49730,Western
49833,Adventure
49833,Drama
50083,Crime
50083,Drama
50105,Drama
50105,Romance
50371,Drama
50371,Music
50419,Comedy
50419,Musical
50419,Romance
50468,Biography
50468,Drama
50468,Western
50613,Drama
50613,History
50658,Comedy
50658,Crime
50658,Drama
50766,Fantasy
50766,Horror
50766,Mystery
50798,Adventure
50798,Drama
50798,Family
50825,Drama
50825,War
50976,Drama
50976,Fantasy
50976,History
50986,Drama
50986,Romance
51036,Drama
51036,Film-Noir
51201,Crime
51201,Drama
51201,Mystery
51337,Action
51337,Adventure
51337,Family
51378,Crime
51378,Drama
51378,Thriller
51418,Horror
51418,Sci-Fi
51554,Drama
51554,Horror
51622,Drama
51622,Horror
51622,Sci-Fi
51658,Comedy
51658,Musical
51658,Romance
51744,Crime
51744,Horror
51744,Mystery
52311,Crime
52311,Drama
52311,Film-Noir
52357,Mystery
52357,Romance
52357,Thriller
52520,Drama
52520,Fantasy
52520,Horror
52738,Biography
52738,Drama
52738,Family
52893,Drama
52893,Romance
52918,Drama
53125,Adventure
53125,Mystery
53125,Thriller
53137,Drama
53137,Romance
53137,Sci-Fi
53198,Crime
53198,Drama
53285,Animation
53285,Family
53285,Fantasy
53459,Drama
53459,Horror
53472,Crime
53472,Drama
53488,Animation
53488,Comedy
53580,Adventure
53580,Drama
53580,History
53604,Comedy
53604,Drama
53604,Romance
53779,Comedy
53779,Drama
53925,Drama
53925,Horror
53946,Biography
53946,Drama
53946,History
54047,Action
54047,Adventure
54047,Western
54130,Drama
54135,Comedy
54135,Crime
54135,Music
54189,Crime
54189,Drama
54189,Thriller
54215,Horror
54215,Mystery
54215,Thriller
54331,Adventure
54331,Biography
54331,Drama
54357,Adventure
54357,Family
54460,Crime
54460,Drama
54460,Thriller
54698,Comedy
54698,Drama
54698,Romance
54997,Drama
54997,Sport
55018,Horror
55031,Drama
55031,War
55184,Drama
55184,Romance
55184,Western
55254,Adventure
55254,Animation
55254,Comedy
55256,Comedy
55277,Comedy
55277,Family
55277,Romance
55471,Drama
55471,Romance
55499,Drama
55601,Drama
55614,Crime
55614,Drama
55614,Musical
55630,Action
55630,Drama
55630,Thriller
55683,Animation
55683,Comedy
55683,Family
55830,Horror
55830,Mystery
55852,Comedy
55852,Drama
55852,Music
55895,Drama
55913,Comedy
55913,Drama
55913,Romance
55928,Action
55928,Adventure
55928,Thriller
56058,Action
56058,Drama
56058,Mystery
56059,Action
56059,Adventure
56059,Comedy
56085,Western
56172,Adventure
56172,Biography
56172,Drama
56193,Crime
56193,Drama
56193,Romance
56197,Action
56197,Drama
56197,History
56217,Drama
56217,Western
56218,Drama
56218,Thriller
56412,Drama
56412,Western
56592,Crime
56592,Drama
56663,Drama
56687,Drama
56687,Horror
56687,Thriller
56732,Drama
56732,Fantasy
56801,Drama
56869,Drama
56869,Horror
56869,Mystery
56923,Comedy
56923,Mystery
56923,Romance
56937,Biography
56937,Drama
56937,History
57012,Comedy
57012,War
57076,Action
57076,Adventure
57076,Thriller
57091,Drama
57091,History
57345,Drama
57345,Romance
57358,Drama
57413,Comedy
57413,Crime
57413,Romance
57546,Adventure
57546,Animation
57546,Comedy
57590,Adventure
57590,Comedy
57590,History
57733,Comedy
57733,Family
57733,Fantasy
57869,Comedy
57869,Crime
57869,Drama
58135,Comedy
58135,Crime
58150,Action
58150,Adventure
58150,Thriller
58331,Comedy
58331,Family
58331,Fantasy
58385,Drama
58385,Family
58385,Musical
58450,Drama
58450,Musical
58450,Romance
58461,Action
58461,Drama
58461,Western
58576,Drama
58576,Thriller
58898,Drama
58898,Mystery
58898,Sci-Fi
58946,Drama
58946,War
59113,Drama
59113,Romance
59113,War
59183,Adventure
59183,Drama
